iter	RMSE
0	0.602148129
1	0.6021303718
2	0.6021155678
3	0.6021007487
4	0.6020827279
5	0.602064936
6	0.6020477152
7	0.6020329578
8	0.6020183639
9	0.6020037865
10	0.6019868987
11	0.6019724829
12	0.6019548763
13	0.6019371142
14	0.6019195124
15	0.6019018707
16	0.6018842774
17	0.6018667656
18	0.6018491113
19	0.6018315832
20	0.6018138174
21	0.6017994597
22	0.6017850961
23	0.6017673646
24	0.6017491675
25	0.6017316745
26	0.601714251
27	0.6016974064
28	0.6016799918
29	0.6016624538
30	0.6016448963
31	0.6016271699
32	0.601609813
33	0.6015924748
34	0.6015782131
35	0.6015608701
36	0.6015435771
37	0.6015263208
38	0.6015122494
39	0.6014978991
40	0.6014806157
41	0.6014633779
42	0.6014521416
43	0.6014345893
44	0.6014205367
45	0.6014065522
46	0.6013892737
47	0.6013720605
48	0.6013548915
49	0.601337706
50	0.6013205477
51	0.6013035027
52	0.6012895828
53	0.6012726012
54	0.6012552899
55	0.6012382968
56	0.6012227642
57	0.6012057424
58	0.6011888208
59	0.601171821
60	0.6011548359
61	0.6011377608
62	0.6011208319
63	0.6011070243
64	0.6010901931
65	0.6010733674
