iter	Passed	Remaining
0	8	1704
1	16	1598
2	24	1585
3	32	1606
4	40	1597
5	49	1596
6	57	1584
7	66	1588
8	74	1581
9	83	1586
10	91	1567
11	99	1557
12	107	1543
13	116	1541
14	123	1527
15	131	1514
16	140	1508
17	148	1497
18	156	1491
19	164	1479
20	172	1470
21	180	1461
22	200	1540
23	206	1515
24	213	1497
25	223	1495
26	232	1491
27	240	1478
28	249	1470
29	257	1459
30	265	1446
31	272	1433
32	281	1424
33	289	1411
34	297	1400
35	305	1393
36	313	1380
37	321	1369
38	329	1359
39	337	1351
40	346	1344
41	355	1339
42	365	1334
43	373	1325
44	381	1315
45	389	1303
46	397	1294
47	405	1283
48	413	1273
49	420	1261
50	428	1251
51	436	1241
52	444	1233
53	452	1222
54	461	1216
55	470	1208
56	477	1197
57	485	1188
58	494	1180
59	502	1171
60	509	1160
61	516	1150
62	524	1140
63	534	1135
64	544	1130
65	553	1124
